;sd;MRT odo;MRT track;MRT fuse;MRT scan;MRT plan
;0;40;40;45;65;60
;1;40;40;45;50;60
;2;40;40;45;50;60
;3;40;40;45;50;60
;4;40;40;45;50;60
;5;40;40;45;50;60
;6;40;40;45;50;60
;7;40;40;45;50;60
;8;40;40;45;50;60
;9;40;40;45;50;60
;10;40;40;45;50;60
;11;35;25;40;50;60
;12;35;25;40;50;60
;13;35;25;40;50;60
;14;35;25;40;50;60
;14;35;25;40;50;60
;16;35;25;40;50;60
;17;35;25;40;50;60
;18;35;25;40;50;60
;19;35;25;40;50;60
;20;35;25;40;50;60
;21;35;25;40;50;60
;22;35;25;40;50;60
;23;35;25;40;50;60
;24;35;25;40;50;60
;25;35;25;40;50;60
;26;35;25;40;50;60
;27;35;25;40;50;60
;28;35;25;40;50;60
;29;35;25;40;50;60
;30;35;25;40;50;60
;31;35;25;40;50;61
;32;35;25;40;50;62
;33;35;25;40;50;63
;34;35;25;40;50;64
;35;35;25;40;50;65
;36;35;26;40;51;66
;37;35;27;40;52;67
;38;35;28;40;53;68
;39;35;29;40;54;69
;40;35;30;40;55;70
;41;35;31;40;56;71
;42;35;32;40;57;72
;43;35;33;40;58;73
;44;35;34;40;59;74
;45;35;35;40;60;105
;46;36;36;41;61;105
;47;37;37;42;62;105
;48;38;38;43;63;105
;49;39;39;44;64;105
;50;40;40;45;65;110
